Charger Latitude,Charger Longitude,Hour,Demand Count Near Origin,Demand Count Near Destination,Total Demand Count,lat_lon,id
22.3007988,114.1790894,21,4733,3079,7812,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,22,1826,380,2206,"(22.3007988, 114.1790894)",2
22.3007988,114.1790894,23,3366,770,4136,"(22.3007988, 114.1790894)",2
22.2994345,114.1736496,0,1578,800,2378,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,1,1945,0,1945,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,2,1620,657,2277,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,3,0,201,201,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,4,0,405,405,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,5,5,425,430,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,6,631,1227,1858,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,7,2071,2845,4916,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,8,3751,2558,6309,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,9,3513,4677,8190,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,10,1184,2806,3990,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,11,1926,2796,4722,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,12,3216,2640,5856,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,13,2888,3206,6094,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,14,1630,2176,3806,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,15,1382,3353,4735,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,16,2578,1085,3663,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,17,2995,2017,5012,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,18,4044,3111,7155,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,19,3219,3043,6262,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,20,1966,3075,5041,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,21,4737,2758,7495,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,22,1948,378,2326,"(22.2994345, 114.1736496)",3
22.2994345,114.1736496,23,3563,425,3988,"(22.2994345, 114.1736496)",3
22.3208031,114.1626263,0,1856,797,2653,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,1,1594,562,2156,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,2,1011,624,1635,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,3,272,225,497,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,4,201,404,605,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,5,96,172,268,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,6,832,1167,1999,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,7,4057,3978,8035,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,8,4607,3490,8097,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,9,3745,5131,8876,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,10,3296,2419,5715,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,11,2971,2144,5115,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,12,5173,3283,8456,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,13,5112,3544,8656,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,14,2299,3378,5677,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,15,3807,4455,8262,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,16,4213,2615,6828,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,17,2175,3594,5769,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,18,2019,3965,5984,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,19,3217,4178,7395,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,20,2227,1213,3440,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,21,2238,2303,4541,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,22,2172,1602,3774,"(22.3208031, 114.1626263)",4
22.3208031,114.1626263,23,1631,2307,3938,"(22.3208031, 114.1626263)",4
22.3078513,114.1664406,0,2401,952,3353,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,1,2453,136,2589,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,2,2178,646,2824,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,3,225,229,454,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,4,0,605,605,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,5,184,425,609,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,6,631,1439,2070,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,7,2655,3707,6362,"(22.3078513, 114.1664406)",5
